CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F87449,F87465,F87481,F87497,F87513,F87528,F87544,F87560,F87576,F87592,F87608
,,,,,"Age : 16 to 74 years old - Travel to work; Means of : Work mainly at or from home - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Underground; metro; light rail; tram (England and Wales only) - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Train - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Bus; minibus or coach - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Driving a car or van - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Taxi or minicab - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Passenger in a car or van - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Motor cycle; scooter or moped - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Bicycle - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : On foot - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Other - Unit : People"
10301,22UN,"22UN : Tendring",Districts,DIST,5488,81,2654,1427,31757,271,3439,621,2419,5202,278
10302,22UQ,"22UQ : Uttlesford",Districts,DIST,4584,159,2670,369,21453,111,1586,272,519,3155,170
10303,23UB,"23UB : Cheltenham",Districts,DIST,4641,38,375,2503,28972,162,3059,637,3661,8852,193
10304,23UC,"23UC : Cotswold",Districts,DIST,5842,96,421,537,23701,68,2173,363,1119,4706,249
10305,23UD,"23UD : Forest of Dean",Districts,DIST,4551,18,137,1091,24523,51,2722,427,500,3335,199
10306,23UE,"23UE : Gloucester",Districts,DIST,3767,28,227,3433,31616,93,3697,809,3181,5514,165
10307,23UF,"23UF : Stroud",Districts,DIST,6312,49,414,1262,34449,57,3258,650,1048,4720,173
10308,23UG,"23UG : Tewkesbury",Districts,DIST,4107,28,154,1673,24547,65,2122,439,1908,2933,127
10309,24UB,"24UB : Basingstoke and Deane",Districts,DIST,7768,69,3262,3079,52556,290,5407,730,1983,7172,313
10310,24UC,"24UC : East Hampshire",Districts,DIST,6472,49,2396,860,35345,103,2849,527,1132,5030,353
10311,24UD,"24UD : Eastleigh",Districts,DIST,5175,48,1523,2432,40537,95,3631,966,1686,4201,245
10312,24UE,"24UE : Fareham",Districts,DIST,4658,39,1577,1487,36058,184,3137,1002,2109,3642,462
10313,24UF,"24UF : Gosport",Districts,DIST,2530,31,467,2441,19595,182,2310,866,3977,4396,495
